Accounting_and_Auditing,Advertising_and_Marketing,Aerospace_and_Defense,Aging_and_Geriatrics,Agriculture_and_Forestry,Air_Travel,Alcoholic_Beverages,Alternative_and_Natural_Medicine,Animal_Products_and_Services,Antiques_and_Collectibles,Apartments_and_Residential_Rentals,Apparel,Arcade_and_Coin-Op_Games,Arts_and_Entertainment,Astronomy,Auctions,Automotive_Industry,Autos_and_Vehicles,Banking,Beauty_and_Fitness,Beauty_Pageants,Bed_and_Bath,Bicycles_and_Accessories,Biographies_and_Quotations,Biological_Sciences,Blogging_Resources_and_Services,Board_Games,Boats_and_Watercraft,Body_Art,Book_Retailers,Books_and_Literature,Bowling,Broadcast_and_Network_News,Bus_and_Rail,Business_and_Industrial,Business_Education,Business_Finance,Business_News,Business_Operations,Business_Services,CAD_and_CAM,Campers_and_RVs,Candy_and_Sweets,Car_Rental_and_Taxi_Services,Card_Games,Carpooling_and_Ridesharing,Celebrities_and_Entertainment_News,Chemicals_Industry,Chemistry,Children's_Literature,Classic_Vehicles,Classifieds,Clubs_and_Nightlife,Clubs_and_Organizations,College_Sports,Combat_Sports,Comics_and_Animation,Commercial_and_Investment_Real_Estate,Commercial_Vehicles,Communications_Equipment,Computer_and_Video_Games,Computer_Hardware,Computer_Science,Computer_Security,Computers_and_Electronics,Construction_and_Maintenance,Consumer_Electronics,Consumer_Resources,"Contests,_Awards_and_Prizes",Cooking_and_Recipes,Cosmetic_Procedures,Cosmetology_and_Beauty_Professionals,Crafts,Credit_and_Lending,Cruises_and_Charters,Culinary_Training,Currencies_and_Foreign_Exchange,Custom_and_Performance_Vehicles,Cycling,Dating_and_Personals,Directories_and_Listings,Disabled_and_Special_Needs,Domestic_Services,Earth_Sciences,E-Books,Ecology_and_Environment,Education,Electronics_and_Electrical,Email_and_Messaging,Energy_and_Utilities,Engineering_and_Technology,Enterprise_Technology,Entertainment_Industry,Entertainment_Media,Ethnic_and_Identity_Groups,Events_and_Listings,Extreme_Sports,Face_and_Body_Care,Family_and_Relationships,Family-Oriented_Games_and_Activities,Fan_Fiction,Fantasy_Sports,Fashion_and_Style,File_Sharing_and_Hosting,Finance,Financial_Planning,Fitness,Food_and_Drink,Forum_and_Chat_Providers,Fun_and_Trivia,Games,Gardening_and_Landscaping,General_Reference,Geographic_Reference,Gifts_and_Special_Event_Items,Gossip_and_Tabloid_News,Government,Grants_and_Financial_Assistance,Grocery_and_Food_Retailers,Hair_Care,Health,Health_Conditions,Health_Education_and_Medical_Training,Health_Foundations_and_Medical_Research,Health_News,Hobbies_and_Leisure,Home_and_Garden,Home_Appliances,Home_Furnishings,Home_Improvement,Home_Storage_and_Shelving,Homemaking_and_Interior_Decor,Hospitality_Industry,Hotels_and_Accommodations,Humanities,Humor,HVAC_and_Climate_Control,Hybrid_and_Alternative_Vehicles,Individual_Sports,Industrial_Materials_and_Equipment,Insurance,Internet_and_Telecom,Investing,Jobs,Jobs_and_Education,Journalism_and_News_Industry,Kids_and_Teens,Kitchen_and_Dining,Language_Resources,Laundry,Law_and_Government,Legal,Libraries_and_Museums,Literary_Classics,Live_Sporting_Events,Local_News,Luggage_and_Travel_Accessories,Luxury_Goods,Magazines,Manufacturing,Mass_Merchants_and_Department_Stores,Mathematics,Medical_Devices_and_Equipment,Medical_Facilities_and_Services,Medical_Literature_and_Resources,Men's_Health,Mental_Health,Metals_and_Mining,Microcars_and_City_Cars,Military,Mobile_and_Wireless,Motor_Sports,Motorcycles,Movies,Music_and_Audio,Networking,News,Newspapers,Non-Alcoholic_Beverages,Nursery_and_Playroom,Nursing,Nutrition,Offbeat,Off-Road_Vehicles,Online_Communities,Online_Games,Online_Goodies,Online_Journals_and_Personal_Sites,Online_Media,Oral_and_Dental_Care,Outdoors,Paintball,Party_Games,Pediatrics,People_and_Society,Performing_Arts,Personal_Aircraft,Pest_Control,Pets,Pets_and_Animals,Pharmaceuticals_and_Biotech,Pharmacy,Photo_and_Video_Services,Photo_and_Video_Sharing,Photographic_and_Digital_Arts,Physics,Poetry,Politics,Printing_and_Publishing,Professional_and_Trade_Associations,Programming,Property_Development,Property_Inspections_and_Appraisals,Property_Management,Public_Health,Public_Safety,Puzzles_and_Brainteasers,Radio_Control_and_Modeling,Real_Estate,Real_Estate_Agencies,Real_Estate_Listings,Recreational_Aviation,Reference,Religion_and_Belief,Reproductive_Health,Restaurants,Retail_Trade,Retirement_and_Pension,Roleplaying_Games,Running_and_Walking,Science,Scientific_Equipment,Scientific_Institutions,Scooters_and_Mopeds,Search_Engines,Seniors_and_Retirement,Service_Providers,Shopping,Shopping_Portals_and_Search_Engines,Small_Business,Social_Issues_and_Advocacy,Social_Networks,Social_Sciences,Social_Services,Software,Spas_and_Beauty_Services,Special_Occasions,Specialty_Travel,Sporting_Goods,Sports,Sports_Coaching_and_Training,Sports_News,Subcultures_and_Niche_Interests,Substance_Abuse,Swap_Meets_and_Outdoor_Markets,Swimming_Pools_and_Spas,Table_Games,Team_Sports,Technical_Reference,Technology_News,Teleconferencing,Textiles_and_Nonwovens,Ticket_Sales,Timeshares_and_Vacation_Properties,Tobacco_Products,Tourist_Destinations,Toys,Transportation_and_Logistics,Travel,Travel_Agencies_and_Services,Travel_Guides_and_Travelogues,Trucks_and_SUVs,TV_and_Video,Vehicle_Brands,Vehicle_Codes_and_Driving_Laws,Vehicle_Licensing_and_Registration,Vehicle_Maintenance,Vehicle_Parts_and_Accessories,Vehicle_Shopping,Vehicle_Shows,Virtual_Worlds,Vision_Care,Visual_Art_and_Design,Water_Activities,Water_Sports,Weather,Web_Apps_and_Online_Tools,Web_Portals,Web_Services,Weight_Loss,Wholesalers_and_Liquidators,Wildlife,Winter_Sports,Women's_Health,World_News,World_Sports_Competitions,Writers_Resources,Yard_and_Patio,
67,48,76,37,58,51,51,66,53,61,78,48,90,34,53,24,32,37,42,47,63,44,31,39,38,57,34,29,69,54,82,45,62,53,51,38,80,21,78,61,68,55,52,78,76,59,73,45,60,23,20,55,58,36,29,22,46,51,67,22,52,42,34,20,47,51,46,44,51,44,58,46,34,48,27,38,40,43,47,67,57,30,34,27,11,31,33,25,26,31,0,9,68,47,82,82,45,44,45,49,34,49,66,66,55,62,56,35,69,68,56,42,55,43,45,75,34,37,40,46,46,60,49,68,34,49,31,26,34,67,65,62,50,66,61,72,61,69,67,60,66,70,71,52,49,63,68,53,33,47,19,49,23,59,25,35,35,34,34,57,36,52,54,49,34,47,47,52,53,48,36,46,60,48,38,22,31,78,25,90,70,98,53,37,83,32,33,53,52,59,49,34,46,41,60,32,39,60,43,36,59,51,5,87,43,44,87,88,71,41,32,14,63,67,93,37,60,48,48,65,59,67,57,47,27,60,60,40,57,69,37,32,41,50,36,64,49,57,93,68,38,29,68,42,29,39,20,41,49,25,49,25,36,72,49,26,28,56,68,56,100,64,76,41,22,59,59,40,45,70,59,61,31,54,71,63,54,20,33,36,28,55,56,63,18,18,2,44,43,56,39,46,41,36,49,45,48,41,68
65,49,77,34,58,49,52,69,54,59,73,44,83,35,51,26,39,41,43,48,68,41,29,36,42,50,34,31,66,52,67,45,64,53,46,30,82,17,74,62,70,55,52,76,78,61,74,46,58,21,16,55,56,39,29,25,55,50,60,23,57,42,35,19,49,51,50,47,60,47,53,47,33,49,28,40,38,46,45,66,55,29,34,26,12,30,33,24,27,32,0,9,66,45,81,81,45,45,44,50,37,49,65,61,55,57,62,33,69,63,51,38,48,46,40,69,30,35,37,44,45,62,44,67,38,48,35,26,36,70,67,60,55,68,63,71,61,70,63,60,65,72,74,54,50,55,58,53,29,44,23,50,23,58,25,32,35,100,30,56,36,54,52,54,51,45,43,56,52,50,38,45,59,48,52,28,40,75,24,89,62,98,53,38,82,32,37,57,54,63,50,39,46,41,60,34,39,85,46,36,47,54,5,100,43,51,87,86,69,41,33,13,62,63,92,35,57,47,47,68,54,60,58,48,29,65,64,40,54,72,36,33,43,51,35,64,46,60,93,61,43,28,67,43,29,45,20,46,53,26,47,33,37,75,48,26,30,54,67,50,94,63,66,44,24,57,59,40,50,75,70,65,29,53,74,35,57,20,30,50,30,47,60,64,18,18,2,43,41,55,39,47,37,35,49,44,46,36,69
62,48,74,32,60,48,50,65,51,57,70,40,80,32,53,24,41,44,45,46,65,41,28,36,40,46,36,31,65,51,62,46,61,51,46,27,79,17,70,61,71,53,51,71,75,59,72,44,56,23,16,50,59,38,28,21,41,48,54,23,56,37,31,18,44,48,48,52,53,45,54,44,31,44,27,34,31,40,42,62,55,28,31,25,11,30,31,25,24,30,0,10,58,21,78,78,44,40,38,47,33,40,61,66,62,56,54,34,65,62,55,36,49,42,39,76,29,35,34,43,44,57,38,63,33,48,32,23,35,66,61,59,48,72,57,65,64,64,41,58,59,63,68,54,44,49,60,45,44,41,23,53,21,58,24,30,38,37,34,59,39,56,51,55,54,45,42,56,51,49,45,43,60,46,62,40,45,75,22,90,62,91,52,35,76,31,35,52,49,60,45,32,45,43,58,31,37,66,45,30,43,47,4,69,48,45,82,86,70,39,30,13,64,63,86,31,56,50,43,64,55,54,57,40,25,62,58,40,51,71,34,31,41,49,35,62,51,54,90,60,39,27,61,39,26,39,17,46,38,22,42,25,35,69,42,24,27,51,64,49,94,62,67,50,22,57,57,40,47,82,62,62,27,54,65,26,51,20,26,40,35,55,51,58,19,19,2,45,40,54,42,52,37,35,47,45,49,35,64
63,50,80,31,67,45,47,67,48,54,70,39,82,30,53,24,40,49,49,45,68,41,28,37,39,45,36,33,68,51,60,46,63,52,50,27,78,28,74,64,68,52,51,72,79,55,70,37,52,23,16,48,64,24,27,16,24,48,53,22,52,36,30,17,45,47,42,51,52,46,56,45,29,42,25,34,30,39,44,63,54,29,30,25,11,31,32,23,24,27,0,16,61,18,81,81,48,35,34,47,31,35,68,70,68,60,53,37,67,69,52,36,48,44,46,62,31,35,31,46,43,57,38,62,31,48,31,21,34,65,60,59,44,64,57,66,63,62,40,62,58,62,73,51,46,48,61,44,29,39,24,56,21,58,23,30,36,32,30,58,48,59,56,57,44,49,44,60,54,48,55,45,63,47,66,51,41,72,23,84,62,91,54,36,76,33,35,44,39,62,46,33,42,39,54,29,37,58,55,34,44,46,3,71,49,47,84,84,69,43,31,13,66,62,86,35,54,47,41,65,49,53,57,44,21,65,59,36,57,70,34,31,42,50,38,63,58,51,98,55,46,20,54,39,25,31,16,37,26,22,34,18,36,38,31,22,23,54,63,50,91,63,70,44,21,59,58,41,50,85,64,65,32,55,66,23,48,20,27,44,26,52,49,61,24,24,2,48,43,61,45,56,40,40,51,48,56,37,67
66,60,87,34,73,44,50,72,52,57,71,41,84,31,55,34,43,53,55,48,66,38,30,37,40,47,38,35,69,54,64,48,68,52,50,27,82,19,77,62,69,51,57,77,75,52,69,35,50,24,16,47,66,25,29,13,20,49,53,21,52,37,34,17,43,47,43,49,54,43,60,45,29,43,25,34,28,42,44,64,57,27,29,26,11,30,32,24,25,28,2,8,64,18,80,80,49,38,40,49,31,41,66,72,68,61,51,37,64,65,52,35,53,48,47,57,31,36,32,48,44,55,37,61,33,52,29,21,34,68,63,59,45,67,55,70,61,60,42,57,61,67,73,54,47,52,62,45,29,41,27,58,20,59,23,31,38,31,30,60,51,55,60,59,36,49,45,59,55,49,55,45,64,53,64,44,34,75,22,87,64,90,58,36,74,34,34,41,37,60,48,36,48,40,57,32,37,66,46,30,42,49,3,73,42,47,82,87,76,44,34,12,67,60,87,37,55,46,44,71,45,53,56,50,21,66,58,36,58,82,36,34,43,52,35,70,62,53,95,56,42,19,54,40,26,28,13,38,22,22,33,16,30,30,29,23,23,55,62,51,93,70,70,39,19,61,60,41,47,84,67,66,35,56,60,23,53,21,32,44,31,50,48,49,24,24,2,51,44,66,49,50,42,40,65,51,62,39,71
64,64,82,40,62,40,49,68,53,54,70,38,87,30,56,25,40,46,50,47,65,40,29,40,41,48,42,34,70,55,63,49,71,52,49,29,79,18,76,61,72,51,53,71,84,56,62,37,57,29,15,54,66,25,28,15,26,48,57,22,52,40,33,17,46,58,45,48,50,45,59,48,30,45,25,37,31,41,44,65,57,30,30,27,11,31,32,24,25,29,0,12,61,18,90,90,52,37,43,52,31,38,69,74,67,61,60,38,65,66,57,36,50,48,45,55,30,34,32,47,44,59,40,61,33,50,33,23,36,72,62,63,46,71,56,73,63,69,44,58,60,66,74,53,44,49,62,46,36,44,24,59,20,61,24,31,40,32,29,60,43,55,60,57,34,51,48,56,63,51,41,47,66,53,56,29,32,77,23,84,64,96,62,38,80,32,34,56,54,64,46,32,43,39,60,31,35,57,45,33,42,50,4,80,35,46,82,90,72,44,31,13,65,61,85,33,55,50,44,67,45,57,62,40,23,68,59,41,54,75,35,33,43,50,35,65,51,54,100,59,41,23,60,42,27,32,19,39,29,23,35,19,34,42,33,26,25,54,66,53,93,71,72,40,22,63,61,58,50,85,65,68,33,58,65,36,49,22,87,43,38,48,58,61,20,20,2,47,41,65,46,50,40,37,77,50,53,36,70
62,54,72,36,52,42,45,62,49,55,65,38,85,32,51,25,36,35,41,47,61,36,27,38,35,46,37,31,63,50,61,42,64,50,46,28,74,35,67,57,67,49,51,65,69,47,57,44,56,25,19,51,59,32,28,19,50,49,58,22,55,41,32,18,48,49,48,43,51,47,56,44,31,44,24,37,33,42,44,62,52,29,30,27,11,29,32,24,26,30,0,11,56,18,74,74,48,38,31,51,30,38,64,65,64,57,56,36,59,61,52,35,43,44,45,58,25,33,32,43,41,54,41,59,32,48,37,30,35,65,66,56,49,64,55,65,61,65,45,56,59,60,69,50,44,43,53,50,33,44,21,49,17,54,24,28,38,33,32,54,37,50,51,55,30,49,42,53,52,50,38,44,62,45,51,22,27,73,23,79,69,97,58,35,83,31,32,59,59,58,47,34,44,40,55,34,35,57,41,34,42,46,4,84,36,51,76,80,67,41,30,13,64,61,82,26,54,48,44,62,48,58,59,41,28,64,54,35,46,69,33,32,41,48,30,56,40,57,88,68,41,26,72,39,27,42,16,46,71,25,39,24,36,82,53,28,27,53,66,48,85,64,67,40,22,59,58,42,43,72,60,62,30,51,75,54,63,18,96,37,42,49,72,73,20,20,2,38,36,56,36,45,35,31,51,43,44,31,58
62,50,80,30,46,45,46,66,50,72,68,38,84,32,49,26,31,31,37,41,59,38,27,39,32,47,33,27,63,49,60,39,58,47,43,27,73,18,62,55,63,50,49,60,70,48,56,44,57,22,18,51,54,32,29,20,58,50,60,21,53,40,35,20,50,50,47,45,51,48,53,49,33,46,26,38,34,42,46,67,55,30,33,26,11,29,34,25,26,30,0,10,58,19,73,73,45,43,32,56,34,41,63,65,68,61,53,34,60,59,51,37,41,51,43,65,26,34,31,44,44,60,45,58,35,50,34,42,37,70,67,58,52,66,53,68,58,66,57,56,58,64,70,53,44,44,50,48,29,51,18,47,18,55,23,29,36,37,40,63,29,50,48,50,27,45,43,52,51,49,39,44,59,44,43,17,24,72,22,81,61,97,55,38,84,31,33,55,58,60,50,40,46,37,57,34,36,59,42,36,38,46,5,78,36,44,73,75,68,42,31,13,65,61,73,26,56,49,46,62,53,60,56,45,29,63,56,40,47,61,34,29,39,47,30,53,38,58,83,67,45,29,73,39,27,44,18,51,74,26,40,24,36,79,59,26,29,55,70,47,83,64,62,43,23,57,57,40,41,64,56,58,31,50,73,49,47,20,75,31,37,41,64,75,15,15,2,38,36,50,36,44,30,33,47,43,39,32,53
60,49,73,34,52,44,46,66,48,58,69,40,80,33,44,24,26,28,30,38,54,36,26,39,27,45,32,25,58,46,56,36,56,47,42,24,69,24,58,52,59,50,48,59,69,43,51,43,57,22,17,50,55,30,27,19,53,45,56,21,46,36,31,17,44,48,44,40,48,43,55,42,30,44,23,33,31,42,42,62,52,29,29,27,11,35,30,23,24,29,0,9,54,16,70,70,44,37,30,49,31,40,68,62,68,71,51,36,58,57,53,36,46,50,46,68,27,39,31,43,44,54,40,56,32,42,31,30,33,63,61,56,47,60,49,64,55,62,48,55,57,57,66,53,46,48,51,43,30,53,15,44,19,54,26,31,34,32,43,56,26,51,55,50,21,54,47,50,53,51,38,53,59,46,34,15,23,69,22,79,59,95,53,32,75,30,30,49,48,53,44,33,41,38,52,30,34,51,40,31,39,41,5,69,37,44,72,71,64,44,28,12,63,63,72,28,54,43,44,60,55,56,51,41,26,62,52,33,42,57,30,29,34,43,27,52,34,54,77,62,41,28,67,38,26,38,17,41,56,23,39,22,35,67,47,25,26,64,71,47,80,77,68,43,22,82,62,43,40,62,54,60,45,63,67,63,50,18,60,27,35,35,66,63,14,14,2,35,36,49,36,39,26,27,49,36,35,31,54
65,52,77,34,53,48,54,74,50,56,75,43,85,33,47,24,26,26,28,41,53,35,25,37,26,52,35,29,63,48,59,37,58,48,42,21,73,17,58,53,58,59,53,63,71,52,51,41,54,30,17,57,59,29,35,18,42,46,57,19,43,33,30,16,41,52,41,40,50,46,55,41,28,45,21,33,27,49,42,62,62,30,28,28,11,38,32,23,22,29,0,9,57,19,78,78,44,37,30,49,31,46,76,77,79,69,49,37,66,63,58,36,49,47,48,66,29,53,35,46,48,52,36,59,30,41,27,29,32,63,58,58,44,58,45,62,52,65,44,55,57,57,63,58,50,55,51,40,45,55,15,47,21,54,27,39,34,22,62,67,26,50,58,45,19,59,46,50,57,51,39,58,59,47,28,14,21,71,22,78,63,93,56,34,72,29,30,46,44,48,41,30,40,36,54,30,40,51,100,30,60,39,4,73,51,42,76,75,66,49,28,14,60,74,71,28,56,48,48,58,53,57,49,48,24,59,58,33,42,56,31,29,32,40,26,49,39,52,80,59,41,24,63,36,25,35,15,35,46,21,39,21,38,60,41,25,24,72,85,52,78,87,75,59,25,93,71,62,44,57,56,59,57,68,71,55,54,18,44,25,37,30,87,65,15,15,3,37,37,53,39,40,29,28,59,38,37,33,55
63,52,74,59,51,43,49,69,48,58,68,38,84,30,47,25,25,30,34,43,57,37,27,39,28,50,34,26,62,49,56,41,59,46,43,34,78,17,62,58,64,52,48,74,70,51,71,41,60,26,16,73,57,31,27,19,36,50,55,21,42,39,31,18,48,50,42,46,50,46,54,44,31,56,24,37,32,39,48,59,56,28,31,26,12,30,31,24,24,28,0,9,62,39,77,77,46,40,45,52,34,50,64,62,64,62,56,35,62,59,49,34,45,46,41,61,28,35,33,47,46,57,36,66,32,46,31,26,36,67,62,57,45,65,60,68,53,64,58,57,65,64,65,48,47,57,54,46,28,48,15,43,17,50,21,32,34,26,33,57,29,50,54,46,22,50,47,53,59,59,42,49,60,48,29,17,20,66,23,73,57,83,52,37,73,31,30,56,53,60,46,32,42,38,59,34,38,56,47,32,96,43,4,69,59,42,70,71,66,43,28,12,58,55,69,26,53,44,43,66,49,56,58,40,23,59,54,33,51,65,35,31,37,47,29,59,48,54,82,64,43,24,65,36,26,36,15,36,46,23,43,23,35,61,43,25,25,50,61,45,87,68,69,39,21,52,58,44,34,51,50,60,32,49,65,46,49,20,23,28,33,37,80,63,16,16,4,39,41,50,36,41,40,31,46,41,40,40,58
59,60,77,38,47,48,49,65,49,52,66,39,79,31,51,24,26,33,36,42,60,37,27,39,30,54,35,24,70,52,58,39,62,49,46,34,77,16,64,60,67,52,46,73,73,53,65,44,57,22,18,53,56,32,27,23,48,49,54,21,47,36,33,19,48,48,46,41,55,48,55,46,33,48,25,35,36,39,47,59,55,30,34,25,11,29,33,24,26,29,0,9,67,66,76,76,45,43,46,52,35,48,62,63,65,61,57,32,59,60,49,36,42,46,40,63,27,34,33,45,43,58,41,61,31,46,32,26,35,69,64,55,48,62,57,70,56,65,68,51,62,63,66,49,45,58,52,47,32,47,16,44,19,54,21,30,33,27,33,54,30,49,53,46,25,49,48,51,53,50,37,44,58,44,32,18,23,69,22,75,54,86,57,39,72,31,32,52,50,60,47,36,43,38,58,32,41,55,42,31,100,41,4,70,64,55,70,71,68,41,26,13,54,56,67,24,55,49,46,63,53,56,56,43,27,56,62,30,52,69,37,31,38,47,31,61,47,55,85,64,48,27,68,40,26,42,16,42,60,25,45,24,37,78,55,25,28,52,65,46,91,66,63,44,22,51,57,40,36,54,50,59,36,48,68,42,52,20,23,31,24,53,49,53,18,18,39,39,41,50,40,41,37,32,45,40,40,37,61
61,50,76,50,52,46,46,66,46,49,66,37,80,30,50,25,29,34,38,43,61,36,27,36,34,50,53,28,66,52,59,41,62,50,42,33,74,16,68,59,64,51,44,67,75,54,65,42,52,22,19,51,58,34,26,22,45,47,57,21,51,38,33,18,46,46,46,45,51,46,54,44,30,44,25,36,33,38,46,63,50,27,31,24,11,29,31,23,25,29,3,9,58,39,67,67,47,41,41,52,34,47,63,63,60,56,54,32,63,61,48,38,40,44,38,62,26,33,30,50,43,57,41,69,32,43,31,27,33,66,62,56,47,60,60,68,58,63,43,56,60,62,65,48,46,57,53,49,34,45,17,44,20,53,20,30,45,30,29,51,32,49,52,49,32,45,43,51,52,44,34,43,56,46,35,21,30,69,24,70,53,83,49,37,68,31,30,54,50,57,44,33,42,37,50,31,37,56,40,31,60,40,4,76,51,64,67,71,62,42,27,12,55,55,66,23,53,46,44,63,51,57,53,43,25,63,55,34,51,67,34,30,39,46,31,62,48,53,82,62,42,27,66,40,27,40,18,41,50,23,51,24,34,73,47,25,25,52,62,47,92,63,61,38,22,50,57,38,40,65,57,59,32,48,62,57,49,19,30,32,24,53,49,56,16,16,3,42,49,51,39,42,35,34,44,41,42,36,62
60,47,80,30,48,45,48,62,45,57,65,37,76,31,53,26,33,36,42,43,63,36,28,38,40,48,39,28,64,50,59,43,64,51,45,28,76,16,65,60,66,52,44,67,77,56,61,42,54,20,16,51,59,33,26,22,49,51,58,21,56,39,32,18,51,47,47,46,52,46,55,44,31,46,27,36,32,40,43,60,56,30,34,24,12,28,32,23,26,29,0,10,60,40,69,69,47,42,41,50,32,46,63,63,60,57,53,34,61,60,49,38,40,43,37,58,26,34,32,45,44,58,40,71,33,44,33,26,35,66,65,60,50,67,56,69,61,62,45,57,61,63,68,48,43,46,52,46,25,39,20,46,19,58,22,29,39,39,32,52,34,52,48,55,47,43,42,53,52,41,37,44,55,41,47,25,39,66,22,73,55,85,49,37,67,31,32,52,50,58,44,33,44,38,53,31,36,52,44,31,41,41,4,74,50,49,69,68,62,41,27,13,55,57,66,23,55,47,45,68,48,58,57,42,26,61,55,38,52,71,36,30,39,48,32,64,47,56,79,62,44,26,67,40,27,43,28,44,49,26,48,30,37,73,46,24,28,50,64,45,89,62,53,41,21,53,56,38,41,69,63,57,30,51,66,32,62,19,24,35,27,47,50,60,17,17,2,41,39,53,38,42,34,32,45,41,45,35,60
59,52,75,29,51,44,45,63,46,55,67,36,73,29,51,23,34,41,42,42,63,35,26,35,38,43,39,31,63,48,57,38,62,51,42,27,70,17,63,57,65,51,42,62,75,55,60,42,54,21,15,44,56,31,24,21,37,44,52,21,53,36,29,17,43,46,45,47,52,44,58,44,29,42,24,31,29,38,41,53,51,26,31,22,10,26,29,21,23,27,0,9,52,18,65,65,43,33,35,44,28,36,59,63,54,57,50,32,56,57,45,34,38,40,36,58,24,31,29,40,40,55,38,60,31,42,29,20,33,63,56,56,45,67,53,60,61,58,38,52,58,56,62,50,41,42,51,42,26,37,21,51,17,54,20,26,37,31,32,49,36,53,48,52,53,42,41,54,51,42,44,39,57,40,54,38,43,68,21,68,49,83,48,35,62,29,28,50,44,57,41,32,38,37,49,28,34,47,41,29,37,41,4,74,44,48,62,65,59,36,25,11,60,55,60,21,51,44,45,62,46,52,53,37,23,58,55,38,50,65,31,28,37,46,34,60,45,50,82,60,41,25,62,36,24,38,18,44,43,22,41,24,33,66,40,23,24,49,59,42,85,60,51,45,19,51,54,37,42,81,54,52,28,49,60,23,51,17,24,33,25,47,48,61,17,17,2,41,39,50,39,45,32,32,45,43,46,32,60
56,44,73,28,54,40,45,62,44,49,65,37,71,26,53,22,34,45,48,42,63,34,26,33,38,42,40,30,62,49,56,43,61,48,41,25,70,24,66,58,61,52,42,60,74,48,59,35,47,22,13,46,58,21,24,15,22,45,50,19,48,33,29,15,42,42,40,43,50,42,71,44,28,39,23,31,25,36,40,54,51,25,29,22,10,26,29,21,23,25,0,12,49,16,66,66,45,34,34,44,29,37,57,57,53,52,45,33,57,56,46,31,35,42,41,53,24,31,26,41,39,52,38,62,30,44,28,19,32,61,55,52,39,58,49,60,57,57,35,54,56,56,66,47,40,42,49,38,24,37,20,53,16,51,20,26,37,26,27,45,41,52,50,51,39,43,40,52,50,42,47,40,57,43,61,45,38,63,22,64,52,79,51,35,57,30,27,39,36,55,39,30,37,37,48,25,32,45,37,26,34,38,4,93,38,50,61,63,59,34,25,11,53,55,60,23,51,40,44,62,41,48,52,35,18,60,51,32,51,69,33,28,39,47,35,61,51,44,76,51,41,19,54,34,23,30,13,35,25,23,32,18,33,39,31,22,22,48,56,40,87,60,56,39,18,54,53,37,41,74,54,50,33,49,73,19,44,20,37,36,22,43,46,75,20,20,4,44,38,53,41,51,35,35,48,43,48,32,66
57,44,77,32,54,38,48,64,44,52,67,33,78,27,52,22,35,47,51,41,61,35,25,34,37,44,40,33,66,49,58,45,65,50,44,25,73,18,66,61,63,49,42,64,75,49,56,30,47,23,15,44,63,18,24,13,19,46,50,20,48,33,30,16,43,46,48,44,50,43,77,43,28,40,22,31,25,40,42,53,54,25,26,24,10,27,30,23,23,25,1,8,55,16,68,68,47,38,37,49,29,39,63,65,52,57,46,36,62,59,45,30,37,43,38,42,25,31,26,41,38,54,34,62,31,46,28,20,33,67,57,55,39,61,49,65,58,60,37,55,57,64,66,48,41,44,53,37,22,37,24,54,17,52,20,26,35,26,28,46,43,52,58,52,35,45,43,52,59,43,44,40,57,45,58,38,34,60,21,65,55,72,51,35,56,31,30,39,35,55,39,30,39,39,49,27,33,49,40,26,37,39,4,87,40,52,63,68,64,34,27,11,50,54,62,24,52,41,42,62,35,50,52,36,19,61,50,32,54,73,31,30,38,49,34,62,55,47,79,48,43,17,50,37,25,27,13,34,19,22,32,15,32,28,27,21,23,45,57,40,85,62,55,37,18,54,56,39,43,77,58,54,36,53,63,19,47,19,30,37,26,45,44,57,19,19,3,45,41,56,45,44,37,36,62,48,53,35,66
59,44,83,36,56,37,46,70,44,50,62,34,75,28,50,21,34,39,48,42,61,38,25,34,35,41,38,32,68,51,60,42,63,47,43,26,69,19,60,58,65,48,43,61,77,47,52,33,47,26,14,47,61,22,23,14,24,47,52,20,54,35,28,16,42,46,41,44,48,43,76,44,27,40,21,32,27,39,41,58,54,26,28,24,11,27,30,23,23,27,0,8,53,16,69,69,42,36,38,46,27,38,60,61,50,54,49,36,58,59,43,33,36,43,37,43,25,32,26,43,39,56,36,61,31,46,32,19,34,64,62,52,41,63,47,66,57,61,39,51,52,63,65,47,53,45,53,42,24,40,20,50,17,52,21,25,36,26,26,47,38,50,56,52,30,45,45,54,62,45,37,43,60,44,53,26,31,64,22,70,55,77,54,35,60,33,32,46,47,58,38,28,38,38,51,25,33,50,39,28,36,40,3,81,36,50,63,64,63,35,26,12,53,53,64,22,50,45,39,59,38,52,54,36,21,61,54,33,50,68,31,29,38,47,33,59,47,49,77,52,43,18,54,36,26,31,14,35,25,21,36,17,32,42,31,24,23,51,59,40,85,67,58,34,20,54,56,46,45,77,56,54,31,55,61,33,47,18,75,36,35,66,49,55,16,16,2,42,38,55,39,43,35,36,72,43,48,32,74
